User Name,Review Text,Rating (Stars),Review Date
Нурзия Зикирбаева,"Самые ужасные суши, рыба в Филадельфии нарезана так тонко как пленка, фарш в пицце протухшии, еще обворовывают колу с сэтов, жаль что нет оценки 0, да и 0 была бы для них самой лучшей оценкой 👎👎👎👎👎",1,"13 апреля 2024, отредактирован"
Фатима Умарова,Заказали домой сэт так себе не вкусно совсем !точно также как на картинке не было !пиццы совсем тонкие не советую,1,13 апреля 2024
Almas Zhetibaev,"Заказал суши сет ужасно пахнул как будто жарили в масле который не меняли 100 лет
Дышать не возможно реально",1,12 апреля 2024
Арлан Максимов,"Очень вкусно, всё понравилось",5,12 апреля 2024
Albicocca Siesta,"Хорошее обслуживание, вкусное меню",5,12 апреля 2024
Анель Амангелді,Супер все очень вкусно !!!❤️❤️❤️❤️❤️❤️❤️,5,12 апреля 2024
Roma Talgatuli,Жаксы суши пицца 👍👍,5,12 апреля 2024
Миржан Мухаммаддин,Күшті суши пицца,5,12 апреля 2024
Birzhan Mahammaddin,Өте зор суши пицца,5,12 апреля 2024
Rom Palsy,Лучший суши 👍,5,12 апреля 2024
Ramazan Talgat,Лучший суши 👍,5,12 апреля 2024
Ssb I,Өте дәмді сушы 100%😍,5,12 апреля 2024
Birzhan Alibekovv,Өте ләмді суши и пицца,5,12 апреля 2024
Нурторе Кали,Керемет 🙌👍👍,5,12 апреля 2024
Дилмурат Ярмухаметов,"Ма ша Аллах от дамди, ар дайым келуге болады😍",5,12 апреля 2024
Muhtar Turganbek,Керемет өте дәмді екен🥰,5,"12 апреля 2024, отредактирован"
Mukhametbay D,"Өте керемет суши, тез доставка",5,12 апреля 2024
Nurik NURSULTAN,Өте керемет суши пиццалар уакытылы доставкалар ❤️,5,12 апреля 2024
ALI ATASH,"Өте дәмді суши пицца, доставка тез келді, заказ беріңіздер",5,12 апреля 2024
Madina Rahmanova,Маған ұнады өте керемет😍,4,12 апреля 2024
Сәнім,Все было очень вкусно👍,5,12 апреля 2024
Ділназ Аманкелді,Дәмі өте керемет ❤️,5,12 апреля 2024
Городская легенда,Өте керемет екен кенес беремін,5,12 апреля 2024
Nurda Tanatovich,Оте дамды кенес беремын,5,12 апреля 2024
Муха көшербаев,Оте адамды суши,5,12 апреля 2024
Ердаулет Жорабай,Кішті тәті 👍👍👍😘😘,5,12 апреля 2024
Мико .,Вкусно очень понравилась 😘,5,12 апреля 2024
Человек паук,Оте дамды суши,5,12 апреля 2024
Zhannur Nurbergen,Классные суши супер !!!,5,12 апреля 2024
Виктория Марару,"Очень редко пишу отзыв, но здесь не смогла пройти мимо. Мы заказали суши в данной компании:
1. Рыба на Филадельфии оставляла желать лучшего, просто тонкие, черные куски рыбы напомним что она должна иметь нежный розовый цвет
2. Начинки в роллах нет, от слова СОВСЕМ.
3. Рис был слипшийся
4. Доставка заняла 3 часа, хорошо что хоть предупреждают ( 2,5 часа +- 30 минут)
Хотя будний день да и филиал находятся в 5км от нас
Скорее всего последний десяток отзывов накручен и перекрывает старые правдивые ужасные отзывы. Мой совет вам работать на совесть, если вы и ввели акцию, то отработайте её. Цены не дешевые а средние как и на половине рынка.
Вечер испорчен! Спасибо!",1,11 апреля 2024
All of me .,"Прежде чем запускать акцию желательно отработать!!!!!!!
Самые ужасные , сухие , невкусные , не свежие роллы !
На вид просто ужасные . Филадельфия с очень тонким и маленьким ,черным кусочком рыбы просто отвратительна ! Все что было в сете просто отвратительное !!!!!
Весь аппетит и всё настроение испорчено !
Ожидание в 2,5-3 часа не стоит того !
Всем кто решится заказать не советую !
Крайне редко обращаюсь в 2 гис за отзывом .
Но в данном случае не обойтись без отзыва !!!!!
Даже на 1 бал не тянет !
Мой совет работать на качество !",1,11 апреля 2024
Imash Nurbek,Ужас мы часто заказывали но в этот раз удивили резиновым пиццой и пропавшими Филадельфией суши твердые не свежие зачем так делать все понемаем что заказов много и не успеваете но не свежими сушами не нужно людей тровит. Хоть успели сами по пробавать а не сразу детям давать.,1,11 апреля 2024
Fatima Ergali,Все было очень вкусно,5,11 апреля 2024
Zharkynbek Karasaev,маған ұнады күшті екен,5,11 апреля 2024
Мәлік Сағдат,Кушты сушилар дәмді екен😍👍,5,11 апреля 2024
Daulet Bopa,Дамди болды оте кушти,5,11 апреля 2024
Salih🏐 .,өте күшті жер,5,11 апреля 2024
Aibar Saduakas,Керемет екен унады,5,11 апреля 2024
Apple User,Өтте дәмді,5,11 апреля 2024
Beka,"Пица өте керемет, дәмді болды",5,11 апреля 2024
Қайсаргүл Қайратжан,Отлично очень круто суши пицца,5,11 апреля 2024
Досик ДК,Өте дәмдііі,5,11 апреля 2024
Айғаным Асет,Очен вкусно 🤤❤,5,11 апреля 2024
Абылайхан Әбдіхалімов,Крутой персонал😍,5,11 апреля 2024
Куаныш Нуржан,Отлично очень круто советую всем,5,"11 апреля 2024, отредактирован"
Айбар Садуакас,Керемет екен унады,5,11 апреля 2024
Nurtas Turysbai,"Тамаша, өте дәмді, жылдам, көңіліме қуаныш сыйлады! Кеңес беремін",5,11 апреля 2024
Madiyar Bolekbaev,Өте дәмді❤️❤️,5,11 апреля 2024
Нурбек Мукатай,"Өте керемет! Дәмді, әрі жылдам.",5,11 апреля 2024
Zhamilya Amrenova,"Очень вкусные суши, понравилось, хороший персонал,обслуживание отличное",5,11 апреля 2024
’asikov ’’,суши прям топ,5,11 апреля 2024
Erasyl Tursunbek,оте дамди сущи,5,11 апреля 2024
Мирас Жаимбай,Дамды суши келиниздер👍,5,11 апреля 2024
Айсулу Рысбек,"Ужасно ужасно ужасно ужасно.
Филодельфиядағы балық қағаздан жұқа, ішіндегі күріш піспеген шылпылдаған су күріш, басқа суши туралы айтатын сөзм жоқ! Рекламасын өлтіреді, итке берсең де жемейтін шығар! Надеюсь бастықтар мені оқып, қадағалайтын шығар поварларын!",1,11 апреля 2024
Yerbol Almukhan,"Өте керемет жер, сушилары, пицца, крылочкилары өтее дәмді, отбасыңызбен барсаңыз болады.",5,11 апреля 2024
Мереке Амандос,"Обслуживание ужыс
Офицант кім екенін білмейсің Шаштары жалбырап Бұлданып жүред
суши суп суық
Айтқан заказыңды дұрыс әкелмейді",1,10 апреля 2024
Didar Ermekuli,"Вместе с тараканами покушали, было приятно. Было приятно познакомится с новыми насекомыми.

Обновлено: Еще заказали надеясь на изменения. Но стало еще хуже",1,"9 апреля 2024, отредактирован"
Dinara,"Мало того что ждать нужно 4 часа, еще и все невкусное.",1,9 апреля 2024
Bagdaulet Nurlan,Уақытылы жеткызылмейт тамақтары. Клиенттермен дұрыс Жумыс жасамайт,1,9 апреля 2024
Nikita 🤫,"Отвратительное место почему вы вообще работаете слой рыбы тонкий как не знаю что
Рис переваренный
Привезли как попало так и ожидание три часа что за бред",1,9 апреля 2024
Zi О,Крылышки были сырые. Еще и запах перегоревшего масло. Пришлось выбросить. Написал им в инсте игнорит. Тамже написал комментарий удалили. Крайне не советую,1,"9 апреля 2024, отредактирован"
Zimfira Zimfira,"Вчера у подруги было день рождения, заказали сэт + за доставку 2100 оплатили привезли ни роллы а помои какие то на фото прикрепила Филадельфию. Это самые ужасные роллы что я ела за свою жизнь рис сухой ни просто сухой а заветрененный какой то было бы со звёздами минус -10 звёзд бы поставила что за отношение? Те которые пишут отзывы по 2 слова и ставят 5 звёзд явно боты и накрутка с отзывами. Люди откройте глаза. Оплатить почти 20 тысяч за сэт и 2100 за доставку привезли тупо ЗАВЕТРЕННЫЙ РИС 3 КГ. Совести ни грамма нету",1,9 апреля 2024
Winnie-the-Pooh,Дорогие администраторы данного заведения! хотел бы вас попросить обучить свой персонал не шуметь после 23 00 рядам с вами частные дома где люди пытаются спать. За отнятую парковку отдельное вам спасибо. И представьте по тротуару ходят люди. Там где паркуются ваши сотрудники доставки.,5,8 апреля 2024
Erkhan Shyndauletov,"Өте төмен денгейдегі қызмет көрсету өте жаман.

Рамазан прошу разберитесь!!!


қызмет көрсетуге мән беру керек.",1,8 апреля 2024
Meirim Otegenova,Ужас вообще жауапкершілігі жок👎🏻👎🏻👎🏻👎🏻6сағат бұрын заказ беру керек🤢🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻,1,6 апреля 2024
Болат Ергешбеков,"Заказал на вынос. Всем говорят 20-25 мин. По факту ждал больше часа. По приходу домой вижу такую картину. Как будто остатки от нарезки положили. Рис разваливается, куски тонкие, в Филадельфии пол рыбы, фри твердый. Так себе суши.",1,"6 апреля 2024, отредактирован"
Isa Aika,Не свежие суши. Рис твердый!!!,1,6 апреля 2024
Temirlan Seitov,"самый отвратительный суши. предлагали лимонад за хороший отзыв. не позорьтесь, закройтесь лучше",1,6 апреля 2024
one backs,"Туфта одним словом
Заказали сет «че там» готовили долго
Принесли заказ, нашелся волос в наших сушах
На пицце были черные пятна, как будто уголь
Стол на котором мы сидели, держался на добром слове, советую это заведение если хотите отправиться",1,"6 апреля 2024, отредактирован"
Nurbek Khassan,Людиии 5жулдызга сенбеңіздер мына жакта накрутка жасап жатыр))),1,6 апреля 2024
Анар Сабыркызы,Дамы оте кушты советую😍😍😍,5,6 апреля 2024
Куралай Ондаш,Дамі суперррр👍🏻,5,6 апреля 2024
Жанай Рахимбеков,Очень вкусно,5,6 апреля 2024
bekzz _,очень вкусно,5,6 апреля 2024
Флоренция Криптон,Доставка хорошая и вкусно,5,6 апреля 2024
Нудл Лкшеп,Очень вкусные суши,5,6 апреля 2024
Андрей Деннер,Вкусно по кайфу),5,6 апреля 2024
Лаура Мамаева,"очень классные суши, спасибо что хорошо и качественно работаете",5,6 апреля 2024
Moonlight,Чудесное заведение с вкусными роллами и пиццей 😋♥️,5,6 апреля 2024
Камила **,Очень вкусно обслуживание высоком уровне! Всё понравилось!🙌🏼,5,6 апреля 2024
user-51331818,Спасибо большое за отличное обслуживание и вкусные суши и пиццу! Мы с внучкой слопали с удовольствием!,5,6 апреля 2024
Нұрбол Тәжібаев,Өте тамаша керемет,5,6 апреля 2024
gavalkaadfgfyb lokiliii,"прекрасное заведение,вкусная еда 😍",5,6 апреля 2024
Бекнур Болат,"Өте дәмді күшті
Тамаша келуге совет беремін😍",5,6 апреля 2024
Beknur Bolat,"Өте керемет
Офицанттар жақсы жұмыс жасайды
Маған ұнады💔😍😘",5,6 апреля 2024
Захар Машков,"Здравствуйте,очень вкусная пиццерия,доставили быстро, очень вкусно,больше спасибо, советую попробовать",5,6 апреля 2024
Dias Tolebai,"Все вкусно, быстро персонал вежливый🥰",5,6 апреля 2024
Alina A,"Пицца понравилась , недорого и вкусно",3,6 апреля 2024
asema,"очень вкусно, советую , купите",5,6 апреля 2024
Амина Калдарбек,Очень вкусно и быстро!Советую,5,6 апреля 2024
Диана Тундебаева,Все вкусно все понравилось👍🏻,5,"6 апреля 2024, отредактирован"
Мөлдір Өтежанова,Ужасный суши. Невкусные. Через 3.5 час привезли доставку. Суып қалған бәрі. Фри вообще қап қатты. Сушилері кішкентай. Наверное сэкономили. И операторға айтсам мы за это не будем отвечать деп басын алып қашып отыр. Вообще ужс не заказывайте оттуда❌,1,5 апреля 2024
User User,Ужас ужас волосы везде грязно пригатовлено,1,5 апреля 2024
Akku Duisenbek,Не заказывайте👎🏻👎🏻👎🏻,1,5 апреля 2024
Кудайбергенов Али,Обслуживание 0% вообще келуге не вариант,1,5 апреля 2024
Slim Shady,Заказали в 13:30 заказ едет 5 часов,1,5 апреля 2024
Мирас Елмуратов,Доставка 5 сагатка кешигип келды,1,5 апреля 2024
Шыңғыс Есімжан,"Самые убогие суши которые вообще заказывал, это просто жесть если честно, так удивить это надо ещё постараться, на картинке одно, по факту совсеееееем другое, так что вообще не советую сдесь ничего заказывать, такая шляпа приедет через 3-4 часа, что потом думать начинаешь а я что-то заказывал? Жесть лютую преподносят, так что лучше не выкидывайте деньги за кота в мешке и берегите свои нервы, отстой полный, то что начинают трындеть про отдел контроля качества в WhatsApp можете сразу забить, легче просто оставить отзыв на их стене в 2ГИС. На фотка ниже поймёте что у них за цена и качество, или любой н**б за твои деньги.",1,4 апреля 2024
Анастасия Калюжная,"Лучше переплатить и заказать самурай суши, ждала почти 5 часов свой заказ (вместо обещанных 3-3,5), пробок нет, праздника сегодня тоже нет. Хорошо, что вовремя отменила заказ.
Никто не извинился и пришлось самой писать и узнавать….
Сервис ужасный. Будто это я открыла свой бизнес и вы платите мне деньги , а не наоборот.",1,4 апреля 2024
Aruzhan Kulmahambet,"Ужасный сервис менеджера, грубо разговоривалапо телефону, через 3 часа позвонила со словами «ой, ваш заказ не был введен в базу»,",1,4 апреля 2024
Dasha,"Ужасные, не свежие, есть не возможно было, за 11к такую фигню привезли, и не хотят возвращать половину сумму!!! НЕ БЕРИТЕ ТАМ СУШИ ПИЦЦУ, САМОЕ УЖАСНАЯ ЕДА ТАМ, И ОТВЕТСТВЕННОСТЬ НЕ НЕСУТ ОНИ ЗА ЭТО!",1,4 апреля 2024
Aiyau Ka,"Сегодня заказали, остывши привезли, крылышки такой маленький, у Филадельфии вообще нету ничего, доставить долго 🤧",2,"4 апреля 2024, отредактирован"
Daniar,Ужасно! Невкусно. Не заказывайте.,1,3 апреля 2024
Kurban Abdrashit,Ужаснооо фу не вкусно,1,3 апреля 2024
Madina S,"Отвратителтные суши, просто отвратительные!!!
Я в шоке, как такие роды можно делать?
Я не посмотрела комментарии и заказала
Очень пожалела. Нужно закрывать такие заведения!! Люди которые не зная, зря потратят время, деньги, нервы!",1,"2 апреля 2024, отредактирован"
Дархан Мукашев,Өте шашар звандамандар алмандар,1,31 марта 2024
Ансар Маратов,"Ужасно ужасно ужаснооооооо
Не заказывайте",1,31 марта 2024
Kanagat Saktagan,Оператор сөзге тсүнбейді өздерінін әмирин жургізет дөрекі телефонды коя салды сөйлеспейді,1,29 марта 2024
Togzhan Temirkhan,"Самые ужасные суши в Алматы. Бугин сеть Ифтар заказ бердик, кеше гана 16 крылышкиымен жеген едик, бугин заказ берсек 8 крылышки акелип тур. Прям ужас. Крылышки ужас прям, ети жок вообще. Звандасак озимизге атылып тургой. Барып жесен гана нормально акеледи. Доставкамен алдырсан ужас. Фри вообще турып калган, картошкасы катып калган гой, калай уялмай акеледи. Заявление жазамыз десек, келеси заказ бергенде подарокка фри+ крылышки беремиз дидгой. Маскара прям. 2-3 сагат куткенде акелгендери осы болса билмеймин. Доставкамен алдыруга не советую. Лучше барып корип алыныздар. Самовызовпен алып кетуге барганда барлык жагдайды айтып кету керек администраторга, келеси жолы кайталамайды. Сумдык нарсе болды енди. Бундай нарсе кутпедим честно. Кызыгына, багасына карап алуга болмайды екен. Конилимизден шыкпады, не советую. Еще берген сеть, заказды дурыс акелмейди. Пиццамыз баска еще суши тоже баска тури. 👎🏻👎🏻👎🏻👎🏻",1,28 марта 2024
Мадина Хандани,"Филиал Paksushi. Сервис просто ужаснейший мягко говоря, сделал заказ, время ожидания которого составило 3 часа, хотя мне утверждали что заказ будет у меня в течении двух часов, помимо этого пишут неверное описание, в описание изложено что доставляется до подъезда но по прибытию заказа курьер говорит что дальше шлагбаума не пойдет, я ему говорю донесите как указано в описании до подъезда, там буквально пройтись 10метров, и в подъезде на ресепшене оставьте на что я получил отказ, дальше я ему говорю ну тогда подождите пока я спущусь с 21 этажа по времени 10 минут займет и он в ответ мне говорит что отменяет заказ, я звоню в колл центр, им это все говорю а они делают вид что меня не слышат и далее грубо говоря меня посылают и сбрасывают звонок, при моем повторном звонке уже на линии другой оператор и он мне говорит что курьер прождал 10 минут и уехал, хотя между звонками курьеру и колл центру прошло 3 минуты. Так же забыл уточнить что при разговоре с их курьером были угрозы в мой адрес. Крайне не советую это заведение и прошу руководство разобраться со своим персоналом.",1,"28 марта 2024, отредактирован"
Мадина Хандани,"Сервис просто ужаснейший мягко говоря, сделал заказ, время ожидания которого составило 3 часа, хотя мне утверждали что заказ будет у меня в течении двух часов, помимо этого пишут неверное описание, в описание изложено что доставляется до подъезда но по прибытию заказа курьер говорит что дальше шлагбаума не пойдет, я ему говорю донесите как указано в описании до подъезда, там буквально пройтись 10метров, и в подъезде на ресепшене оставьте на что я получил отказ, дальше я ему говорю ну тогда подождите пока я спущусь с 21 этажа по времени 10 минут займет и он в ответ мне говорит что отменяет заказ, я звоню в колл центр, им это все говорю а они делают вид что меня не слышат и далее грубо говоря меня посылают и сбрасывают звонок, при моем повторном звонке уже на линии другой оператор и он мне говорит что курьер прождал 10 минут и уехал, хотя между звонками курьеру и колл центру прошло 3 минуты. Так же забыл уточнить что при разговоре с их курьером были угрозы в мой адрес. Крайне не советую это заведение и прошу руководство разобраться со своим персоналом.",1,"28 марта 2024, отредактирован"
Zhamzhit Irsmetov,"Ужасные суши, не следует заказывать суши и пиццы
Про качество можно просто забыть, одним словом не суши а так себе",1,27 марта 2024
Аяулым Боранбаева,"Все пришло холодное, много риса, не свежее! нету салфеток, на 100 суши 2 васаби и 2 имбиря, ожидание и реальность!!!!! Приложу фото",1,"26 марта 2024, отредактирован"
Айганым Аскарова,"Самые бедные, ужасные, несчастные роллы в Алматы. Очень пожалела за сделанный заказ, просто плакать охота, никому не советую. Само место дно, оплата также переводом, сомнительные …",1,25 марта 2024
Аяука Мырзахметова,"Ужас какой то. долго ждали заказ, обслуживание 0.0000000%, даже меню нету ужас.... Повора медленно работает очень долго ждали заказ",1,"25 марта 2024, отредактирован"
Zhyldyzai Ametzhanova,Заказым келді бірақ өте нашар болып келді филадельфияның балығы вообще жоқ рис дұрыс істемегенсіздерма өздеріңіз жеп көрініздер вообще дұрыс емес сіздерден мұндаи күтпедім 😔 заказды алғаннан кеиін дұрыс жасау керек сіздер сол ақшамен нандарыңызды тауып отрсыздар рамазан аиы ауыз ашарға заказ бердік бірақ білмеим мұндай күтпедім,1,25 марта 2024
K33RON,"Ужасное месте, роллы не вкусные, не свежие продукты, привезли холодными хотя заказали утром что привезли вечером, в заказ добавил крылышки но из не положили и не хотят деньги возвращать. Не заказывайте тут",1,24 марта 2024
Диана Тайманбетова,Самый ужасный заведение!!! даже не сможет нормально обслуживать клиентов хотя за обслуживание 10% оплатили? ￼Даже приборы не дают 🤦🏼🤦🏼🤦🏼🤦🏼,1,24 марта 2024
Gulzira Ongarbekova,"Доставка 3 сагат куттик..Бари суып калган
невкусный .Заттарын экономдап жасаган как попало.. Суши сухой слишком..👎🏼👎🏼👎🏼не советую заказ беруге..",1,24 марта 2024
Almas Nurlanuly,"Доставка больше двух часов почти три приходится ждать, сэт привезли холодным, пицца и суши не вкусные, васаби положили в одном месте в 1 из 3-контейнеров.",1,24 марта 2024
StR1m2r So2,"Заказали сет, привезли не полностью. В ответ нам сказали, чтоб самовывозом забрали или сделали заказ (мин 5000 тг) и тогда привезут. Если б было вкусно, то можно было б заказать,но суши и пицца нам не понравились. Попросили вернуть часть денег (за те продукты, которые не доставили),но нам отказали.",1,24 марта 2024
D Kh,"Там стало на столько все ужасно это просто пзд
Заказ сделал и собой на доставку часть роллов испорчены не свежие продукты пошли вы к черту с такими роллами",1,23 марта 2024
Rus Rus,Ужасный сервис и отношение к клиентам,1,21 марта 2024
Махаббат Адильхановна,Біз заказ бердык вообще унамады свежий емес жартылай шикі а еще доставка 3 сагатта бырак келеды а хотя 30 минут та дайындалады деды но свежий емес екены корынып тур,1,21 марта 2024
Назым Кожербаева,"Заказали сет за 24,500 тг невозможно,просто слов нет,на жалобу не реагирует,на фото все понятно,мы заказали у них и обожглись и не получили до конца заказ 🤬😡,не до кого не дозвониться,",1,21 марта 2024
Куралай Кокеджанова,"Хочу оставить отзыв о продукции paksushi_almaty .Ужасное качество продуктов , несвежее , срок больше двух дней ! Фри тоже деревянные . Еще не хотят возвращать деньги . Никому не советую брать здесь суши . Еще грубо отвечают .",1,21 марта 2024
M S,"Просто ужасное обслуживание! Заказали в 15:00 суши на 18:00 (заранее заказали). Курьер еще не подъехав звонит и говорит выйдите быстрее, вышел на улицу а курьера нет. Приехал через 3 минуты курьер и грубо говорит покажите чек, я сказали ща оплачу подожди и покажу, на что он говорит вы будете оплачивать или нет и сел в машину и уехал с едой. Заказ в итоге оплатил и поехал к ним в заведение и сказал чтоб приезжих ребят научили нормально разговаривать. В итоге еду не стали даже брать, садака болсын. Не рекомендую данное заведение",1,21 марта 2024
Рус Ахметов,"Заказал суши оплатил курьер привез и не отдал заказ, грубо ответил и ответ от поддержки ноль, хотя хотели на Ифтар покушать! Администратор если вы читаете свяжитесь с нами 87052324181",1,21 марта 2024
Осман Деканадзе,ля ужасно все *ерня знал бы не *уй заказал бы обслуживание 0%,1,21 марта 2024
Валя .,"ужасный сервис, в 10:00 заказали, время 14:00 заказ не доставили, когда спрашивали когда будет заказ, говорили во время приедет. девушка не грамотная, миллион причин почему задерживается. одной звезды не достойны.",1,20 марта 2024
Milena Ennanova,"Оформила заказ в 10.00 ,обещали доставить в 13.00 . во первых время доставки 3 часа слишком много,решили подождать. в час пишем спрашивая где заказ ,на что мне ответили заказ доставят в назначенное время . после обещали доставить в 13.30.в 13.35 начала звонить отклоняют каждый звонок . игнорируют сообщения . После в 14.00 сообщают ,что у них произошла путаница и заказ даже ещё не выехал , попросили подождать ещё 1,5 часа . Привезли рыба тухлая,рис не вкусный. больше никогда не буду заказывать , отношения к клиентам отвратное , девушка и двух слов связать не может . я в шоке, почему они все ещё не закрылись .",1,20 марта 2024
Светлана Вишнякова,"Увидела фото в инстаграме ,что акция ,на фото выглядит очень красиво ,ждала два с пол часа .Хотя живу рядом .Удивление было ,когда открыли коробки .Суши как будто вчерашние положили ,прям сухие не которые .Пицца с кукурузой это писец .Хотя на фото вообще другая .Первый раз заказала у вас .И последний .Ну я думаю вам пофиг на отзывы .Будете так же беспонтово готовить .Если что я сама повар .Не просто вас критикую .Я просто в афиге была .Размер роллов вообще молчу ,порезали пополам .Вас вообще кто нибудь контролирует?Хотела вам в инсте написать но вы закрыли комментарии.Такими темпами вы клиентуру не поднимите .Единственное что у вас можно с сета кушать -это крылышки .Хотя бы крылья поела .",1,20 марта 2024
Ss Vv,"Максимально все ужасно!!!! Курьера ждали больше трёх часов, ужас!!!!!!!!!!!",1,"19 марта 2024, отредактирован"
Ara 86,"Жаль что нельзя вообще звёзды не ставить. Заказывал на ДР коллегам хотел вкусно покормить так как на картинках все красиво. Так стыдно перед ними никогда не было.... Пицца, суши просто ужас.",1,19 марта 2024
Archi 🤙🏻,"Все плохо , заказ долго везут, и еще невкусная и плохая еда , не понравилась ничего",1,18 марта 2024
Damelya Moldybaeva,"Сегодня заказывала сет ""Ифтар"". Суши пришли холодные и не свежие. Помидоры на пицце очень толсто нарезаны. Картошка фри твердая и тоже не свежая. Не совершайте моих ошибок!! Не советую брать здесь!!!!",1,18 марта 2024
Bek,"заказывали пиццу пепперони,есть кусочек гриба,пепперони с малым кол-во колбасы",1,18 марта 2024
Sss 🤍,Самое худшее что мы заказывали. В пицце два волоса длинных. Филадельфия выглядит и на вкус ужасная. Рыбы там будто совсем нет. А про 3 фото вообще молчу. Могли бы и не добавлять этот миллиметр огурца. Ужас. Еще эти люди называют сет Ауыз ашар. Не стыдно на ифтар такое присылать людям?,1,17 марта 2024
Iso Losik,Вкусно и дёшево,5,16 марта 2024
Фюдр Ниндзя,Вкусно и полезно и приятно,5,16 марта 2024
Sisko Loh,Вкусно и полезно,5,16 марта 2024
Алинка Валерьевна,"Здравствуйте. Сегодня заказала суши, я не знаю как описать что за суши были. Это не суши! Рис сухой недоворенный, испорченные. Есть невозможно, готовили на тяп ляп что ли, вынуждены были выкинуть. Хотелось бы узнать кто так делает, почему нет контроля за продуктами? Даже одной звезды не заслуживает.
Может поварам ещё поучиться, чтобы не только вкусно приготовить но и украсить аппетитно, чтобы людям хотелось больше и больше приходить и заказывать.",1,"15 марта 2024, отредактирован"
Алинка Валерьевна,"Фото не соответствует реальности. Не то что ужасно, а похлеще. Вы клиентов быстрым темпам потеряете, сочувствую.
Были огорчены, что вынуждены были выкинуть ваши суши. Спасибо накормили.",1,15 марта 2024
Райан Гослинг,"В группе 100баксов выложили видео где мышка у них бегает, но потом удалили видео почему-то )",1,15 марта 2024
HavSHik NOOBIK,"Сервис🤮 так еще и ждать 3-3,5 часа и еще это минимум а максимум от 4-5 часов",1,14 марта 2024
Эльшан Ахметов,Ужасный персонал просто не советую,1,13 марта 2024
Vio,"Не советую, так стыдно перед коллегами стало. Пицца подгоревшая, тесто дубовое. Суши - это вообще страх, во первых не вкусные, как попало порезаны, помятые. Крылья- кости в панировке. Ужас , я расстроена 😢 оценка 0 с ——",1,13 марта 2024
Жолдас Досболов,"Самое ужасное суши Пак Суши что это такое это даже не Филадельфия это пленка отход паходу а пицца вапше страшная обслуживание вапше %О-
Здесь можно даже отравиться я первой и последний раз в этом ужасном заведение позор тебе ПАК СУШИ👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤧🤧🤧",1,12 марта 2024
Айгул Жамалиева,Сушиді жеу мүмкін емес. Кеуіп кеткен. Жеу мүмкін емес.,1,12 марта 2024
Дарина Абильмажинова,"Ждали долго,у все аузашар не могут распределить людей,админы не умеют разговаривать с клиентами",1,12 марта 2024
Арай Құрбанбай,Сет классный😘,5,"12 марта 2024, отредактирован"
white H,"Позор они не могут решить проблему они не могут разговаривать с клиентами!!!!
Люди не заказывайте на***",1,10 марта 2024
Sendi A,"Ху-3-Та , разочарование и боль , по телефону самовывоз ожидание в 30 минут обещали , по факту больше 2-ух часов. Толпа голодных бедных людей сидят которым не подали обещанные суши с дерьмовой начинкой и размерам как кот наплакал.

⁉️⭕⁉️⁉️⭕АНТИ САНИТАРИЯ ПОЛНАЯ ⁉️‼️⁉️⭕❌

МЫШИ🐀🐀🐀🐀🐀 БЕГАЮТ ВОКРУГ.

Я конечно понимаю что Рататуй любит готовить , но это Вам не мультфильм, а реальная жизнь.

Задумайтесь прежде чем посещать данное заведение...",1,10 марта 2024
Шыңғысхан Ерболұлы,"Келгенімізге 1 сағаттан асты,заказ кешіктіріп дайындайды келуге болмайтын жер онымен қоса мәзір жоқ инстаграмнан қарау керек",1,10 марта 2024
На Vibe,"Люди!!! Прежде чем заказывать почитайте отзывы!!!
Очень плохо. Ждали заказ 2 часа, и получили совсем не то, что заказали, вместо пиццы из 4 разных видов получили только 5 пиццы только одного вида. И пиццы и роллы сухие не свежие. Закройтесь пожалуйста, не позорьтесь.",1,10 марта 2024
Indira Mussabekova,"Так обидно, столько времени хотела суши, а привезли засохшее де рь мо. Пак суши вы де рь мо.. не заказывайте тут никогда, потому что тут готовят де рь мо и ещё за это берут не малые деньги. От вра тительно. Пусть воздастся вам за то что дурите народ. Пусть ваши дети за ваши грехи отвечают. Букил урим бутактарына кайтсын. Горите в а д у в отдельном котле. Кудайдын каргысына калындар урим бутактарынмен. Я беременная и на гв поэтому мне очень обидно.",1,9 марта 2024
